bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,
2250,The 7 Habits of Highly Effective People Personal Workbook,by Stephen R. Covey,4.22,743250974,9.78074E+12,eng,192,1685,102,
2253,Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,by Stephen R. Covey,3.9,671887173,9.78067E+12,eng,384,328,23,
2255,Way of the Peaceful Warrior: A Book That Changes Lives,by Dan Millman,4.14,1932073205,9.78193E+12,en-US,240,38159,1561,
2257,Secret of the Peaceful Warrior,by Dan Millman-Robert D. San Souci-T. Taylor Bruce,4.18,915811235,9.78092E+12,en-US,32,152,14,
2265,It's Not about the Bike: My Journey Back to Life,by Lance Armstrong-Sally Jenkins,3.72,425179613,9.78043E+12,eng,294,34588,1828,
2267,23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,by John Wilcockson-Graham   Watson,3.67,306814552,9.78031E+12,eng,344,354,26,
2279,Truman,by David McCullough,4.11,671869205,9.78067E+12,eng,1120,69904,1854,
2281,The Complete Stories of Truman Capote,by Truman Capote-Reynolds Price,4.2,140009691X,9.7814E+12,eng,320,3842,215,
2282,Breakfast at Tiffany's: A Short Novel and Three Stories,by Truman Capote,3.89,067960085X,9.78068E+12,eng,162,5607,691,
2283,Murder at The Washington Tribune (Capital Crimes  #21),by Margaret Truman,3.58,345478207,9.78035E+12,eng,384,556,76,
2285,Murder at Ford's Theatre (Capital Crimes  #19),by Margaret Truman,3.72,449007383,9.78045E+12,en-US,376,592,66,
2287,Other Voices  Other Rooms,by Truman Capote,3.81,679745645,9.78068E+12,eng,232,10212,618,
2289,In Cold Blood,by Truman Capote-Scott Brick,4.07,073933364X,9.78074E+12,eng,15,529,126,
2296,Emergence: The Connected Lives of Ants  Brains  Cities  and Software,by Steven Johnson,3.96,684868768,9.78068E+12,en-US,288,2685,197,
2299,Emergence: Labeled Autistic,by Temple Grandin-Margaret M. Scariano,4.07,446671827,9.78045E+12,en-GB,200,1771,150,
2300,Emergence,by David R. Palmer,4.16,553245015,9.78055E+12,eng,291,1640,163,
2304,The Emergence of Life on Earth: A Historical and Scientific Overview,by Iris Fry,4.06,813527406,9.78081E+12,eng,344,46,5,
2305,The Ghost Stories of Edith Wharton,by Edith Wharton-Laszlo Kubinyi,3.89,684842572,9.78068E+12,eng,303,2687,175,
2306,Novels: The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,by Edith Wharton-R.W.B. Lewis,4.3,940450313,9.78094E+12,eng,1328,427,27,
2307,Collected Stories  1911-1937,by Edith Wharton-Maureen Howard,4.28,1883011949,9.78188E+12,eng,848,53,8,
2309,Novellas and Other Writings: Madame de Treymes / Ethan Frome / Summer / Old New York / The Mother’s Recompense / A Backward Glance,by Edith Wharton-Cynthia Griffin Wolff,4.2,940450534,9.78094E+12,eng,1137,65,9,
2314,The House of Mirth,by Edith Wharton,3.95,486420493,9.78049E+12,eng,272,743,62,
2315,Below the Root (Green Sky  #1),by Zilpha Keatley Snyder-Alton Raible,4.09,689304579,9.78069E+12,eng,231,40,9,
2319,The Witches of Worm,by Zilpha Keatley Snyder,3.68,440802504,9.78044E+12,eng,183,34,9,
2322,The Deeper Meaning of Liff,by Douglas Adams-John Lloyd,3.93,307236013,9.78031E+12,eng,192,3924,81,
2326,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),by Douglas Adams,3.98,1597770078,9.7816E+12,eng,6,56,14,
2327,The Letters of J.R.R. Tolkien,by J.R.R. Tolkien-Humphrey Carpenter-Christopher Tolkien,4.14,618056998,9.78062E+12,eng,502,4541,159,
2329,The History of the Lord of the Rings (The History of Middle-earth #6-9),by J.R.R. Tolkien-Christopher Tolkien,4.38,618083553,9.78062E+12,en-US,1680,230,3,
2330,The Languages of Tolkien's Middle-Earth,by Ruth S. Noel-J.R.R. Tolkien,3.97,395291305,9.7804E+12,eng,207,4635,69,
